Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),US ($mill)
Friday,Brad Bird,action,Tomorrowland,22/05/2015,Buena Vista Studios,202.1,170,202.1,6.7,3.26,130,90.2
Friday,Scott Waugh,action,Need for Speed,14/03/2014,Buena Vista Studios,204.2,66,203.3,6.6,2.97,132,43.6
Friday,Patrick Hughes,action,The Expendables 3,15/08/2014,Lionsgate,207.1,100,206.2,6.1,2.93,126,39.3
Friday,"Phil Lord, Chris Miller",comedy,21 Jump Street,16/03/2012,Sony,208.8,42,201.6,7.2,3.62,109,138.4
Friday,Roland Emmerich,action,White House Down,28/06/2013,Sony,209.7,150,205.4,8,3.65,131,73.1
Friday,David Ayer,action,Fury,17/10/2014,Sony,212.8,80,211.8,5.8,2.85,134,85.8
Thursday,Rob Marshall,adventure,Into the Woods,25/12/2014,Buena Vista Studios,213.9,50,212.9,6,3.16,125,128
Friday,Daniel Espinosa,action,Safe House,10/02/2012,Universal,215.5,85,208.1,6.8,3.45,115,126.4
Friday,Gary Shore,action,Dracula Untold,10/10/2014,Universal,216.5,70,215.5,6.3,2.92,92,56.3
Friday,"Henry Joost, Ariel Schulman",horror,Paranormal Activity 3,21/10/2011,Paramount Pictures,218.8,5,207,5.9,2.9,84,104
Friday,Eric Brevig,animation,Yogi Bear,17/12/2010,WB,219.9,80,201.6,4.5,2.17,80,100.2
Friday,Morten Tyldum,biography,The Imitation Game,28/11/2014,Weinstein Company,221,15,220,8.1,4,114,91.1
Thursday,Bryan Singer,biography,Valkyrie,25/12/2008,UA Entertainment,221.2,75,200.3,7.1,3.44,121,83.1
Friday,Seth Gordon,comedy,Horrible Bosses,08/07/2011,WB/New Line,221.6,37,209.6,6.9,3.37,98,117.5
Friday,Ryan Murphy,drama,Eat Pray Love,13/08/2010,Sony,223.1,60,204.6,5.6,2.84,133,80.6
Friday,Paul Greengrass,drama,Captain Phillips,11/10/2013,Sony,223.4,55,218.8,7.9,3.84,134,107.1
Friday,Hayao Miyazaki,animation,Ponyo,14/08/2009,Buena Vista Studios,223.7,34,201.8,7.7,3.82,101,15.1
Friday,Jaume Collet-Serra,action,Non-Stop,28/02/2014,Universal,223.8,50,222.8,7,3.4,106,92.2
Friday,Jonathan Liebesman,action,Battle: Los Angeles,11/03/2011,Sony,223.9,70,211.8,7.6,3.65,116,83.6
Friday,Christopher McQuarrie,action,Jack Reacher,21/12/2012,Paramount Pictures,226.1,60,218.3,7,3.46,130,80.1
Friday,Dennis Dugan,comedy,Just Go With It,11/02/2011,Sony,227.2,80,214.9,6.4,3.17,117,103
Friday,Robert Luketic,comedy,The Ugly Truth,24/07/2009,Sony,227.6,38,205.3,6.5,3.21,96,88.9
Friday,Jake Kasdan,comedy,Bad Teacher,24/06/2011,Sony,228.6,19,216.2,5.7,2.96,92,100.3
Wednesday,Tate Taylor,drama,The Help,10/08/2011,Buena Vista Studios,229,25,216.6,8.1,3.93,146,169.7
Friday,Todd Phillips,comedy,Due Date,05/11/2010,WB,231,65,211.8,6.6,3.17,95,100.5
Friday,Tommy Wirkola,action,Hansel and Gretel: Witch Hunters,25/01/2013,Paramount Pictures,231,50,226.3,6.1,2.9,88,55.7
Friday,Adam Shankman,musical,Hairspray (2007),20/07/2007,New Line Cinema,232.3,75,202.5,6.8,3.44,117,118.9
Friday,Martin Campbell,action,Green Lantern,17/06/2011,WB,232.5,200,219.9,5.7,2.87,114,116.6
Wednesday,Baz Luhrmann,adventure,Australia,26/11/2008,Fox,233.4,78,211.3,7.6,3.5,165,49.6
Friday,Neill Blomkamp,sci-fi,District 9,14/08/2009,TriStar,233.7,30,210.8,8,3.87,112,115.6
Friday,Paul Feig,action,The Heat,28/06/2013,Fox,234.7,43,229.9,6.6,4.07,117,159.6
Wednesday,Jon Turteltaub,action,The Sorcerer's Apprentice,14/07/2010,Buena Vista Studios,234.8,160,215.3,7.1,3.48,109,63.2
Thursday,Adam Shankman,comedy,Bedtime Stories,25/12/2008,Buena Vista Studios,235.2,80,212.9,6.1,3.12,99,110.1
Friday,Garry Marshall,comedy,Valentine's Day,12/02/2010,WB,236.1,52,216.5,5.8,3,125,110.5
Wednesday,Michael Mann,biography,Public Enemies,01/07/2009,Universal,237.3,102.5,214.1,7,3.36,140,97.1
Friday,Brian Grant,crime,Immortals,11/11/2011,Relativity Media,239.9,75,226.9,6.1,2.93,98,83.5
Friday,Ben Affleck,drama,Argo,12/10/2012,WB,240.6,44.5,232.3,7.8,3.9,120,136
Friday,Michel Gondry,action,The Green Hornet,14/01/2011,Sony,240.8,110,227.8,5.9,2.97,119,98.8
Friday,Peyton Reed,comedy,The Break-Up,02/06/2006,Universal,241.8,52,205,5.8,2.94,106,118.7
Friday,Nancy Meyers,comedy,The Holiday,08/12/2006,Sony,241.9,85,205.1,6.9,3.53,138,63.2
Friday,Tom Vaughan,comedy,What Happens in Vegas,09/05/2008,Fox,242.3,35,219.4,7.3,3.51,99,80.3
Friday,Nancy Meyers,comedy,It's Complicated,25/12/2009,Universal,242.9,75,219.1,6.6,2.5,120,112.7
Friday,"Hayden Schlossberg, Jon Hurwitz",comedy,American Reunion,06/04/2012,Universal,243.4,50,235,6.8,3.17,113,57
Wednesday,Jose Padilha,sci-fi,RoboCop,12/02/2014,Sony,243.8,120,242.7,7.1,3.34,117,58.6
Friday,Klay Hall,animation,Planes,09/08/2013,Buena Vista Studios,244.3,50,239.3,5.7,2.86,91,90.3
Friday,Brett Ratner,action,Hercules (2015),25/07/2014,Paramount Pictures,244.5,100,243.4,6.1,3.33,98,72.7
Friday,David O. Russell,romance,Silver Linings Playbook,16/11/2012,Weinstein Company,244.9,21,236.4,7.8,3.86,122,132.1
Friday,David Fincher,biography,The Social Network,01/10/2010,Sony,245.3,40,224.9,7.8,3.67,120,97
Thursday,Doug Liman,action,Jumper,14/02/2008,Fox,245.4,82.5,222.2,6.1,2.98,88,80.2
Tuesday,David Fincher,crime,The Girl with the Dragon Tattoo (2011),20/12/2011,Sony,245.9,90,232.6,7.9,3.87,158,102.5
Wednesday,Dean Parisot,comedy,Fun with Dick and Jane,21/12/2005,Sony,246,140,202,6.1,3,90,110.3
Friday,Peyton Reed,comedy,Yes Man,19/12/2008,WB,246.5,50,223.2,6.9,3.46,104,97.7
Friday,Chris Columbus,fantasy,Percy Jackson & The Olympians: The Lightning Thief,12/02/2010,Fox,247,95,226.5,5.9,3.01,118,88.8
Friday,Paul W.S. Anderson,action,Resident Evil: Retribution,14/09/2012,Screen Gems,248.8,65,240.2,5.3,3,96,42.3
Friday,M. Night Shyamalan,action,After Earth,31/05/2013,Sony,248.9,130,243.8,4.9,2.43,100,60.5
Friday,Judd Apatow,comedy,Knocked Up,01/06/2007,Universal,251.3,27.5,219.1,7.1,3.59,129,148.8
Friday,Pierre Morel,action,Taken,30/01/2009,Fox,251.4,25,226.8,7.9,3.85,93,145
Friday,Dennis Dugan,comedy,Grown Ups 2,12/07/2013,Sony,252.1,80,247,5.4,2.34,101,133.7
Friday,Peter Hewitt,comedy,Garfield: The Movie,11/06/2004,Fox,252.8,50,200.8,4.9,2.27,80,75.4
Friday,Tim Burton,comedy,Dark Shadows,11/05/2012,WB,254.3,150,245.5,6.2,3.03,113,79.7
Friday,Peter Segal,action,Get Smart,20/06/2008,WB,254.8,80,230.7,6.5,3.27,110,130.3
Wednesday,Antoine Fuqua,action,King Arthur,07/07/2004,Buena Vista Studios,256.3,90,203.6,6.3,3.05,126,51.9
Friday,David O. Russell,drama,American Hustle,13/12/2013,Sony,256.4,40,251.2,6.3,2.81,138,150.1
Friday,John R. Leonetti,horror,Annabelle,03/10/2014,WB/New Line,256.5,6.5,255.3,5.4,2.41,99,84.3
Friday,Scott Derrickson,drama,The Day the Earth Stood Still (2008),12/12/2008,Fox,257.5,80,233.1,5.5,2.81,104,79.4
Friday,Ridley Scott,action,Kingdom of Heaven,06/05/2005,Fox,257.8,110,211.7,7.2,3.47,145,47.4
Saturday,Rob Letterman,adventure,Gulliver's Travels,25/12/2010,Fox,258.9,112,237.4,4.9,2.53,85,42.8
Friday,Paul King,comedy,Paddington,16/01/2015,StudioCanal,259.5,55,259.5,7.3,2.89,95,76.2
Friday,Gore Verbinski,animation,Rango,04/03/2011,Paramount Pictures,259.8,135,245.7,7.3,3.51,107,123.5
Friday,Mark Steven Johnson,action,Ghost Rider,16/02/2007,Sony,262.4,120,228.7,5.2,2.19,114,115.8
Friday,Brad Silberling,adventure,Lemony Snicket's A Series of Unfortunate Events,17/12/2004,Paramount Pictures,263.2,100,209.1,6.8,3.37,108,118.6
Friday,Steve Bendelack,comedy,Mr. Bean's Holiday,24/08/2007,Universal,263.5,25,229.7,6.3,2.84,90,33.3
Wednesday,Jason Reitman,comedy,Juno,05/12/2007,Fox Searchlight Pictures,265.5,7,231.4,6.3,2.97,96,143.5
Tuesday,Gore Verbinski,action,The Lone Ranger,02/07/2013,Buena Vista Studios,265.9,225,260.5,6.5,3.03,149,89.3
Friday,Pete Docter,animation,Inside Out,19/06/2015,Buena Vista Studios,266.6,175,266.6,8.8,4.15,102,185.1
Friday,Eric Brevig,action,Journey to the Center of the Earth,11/07/2008,WB/New Line,267.3,45,242,5.8,2.87,93,101.7
Thursday,David Frankel,comedy,Marley and Me,25/12/2008,Fox,268.1,60,242.7,6.2,2.96,115,143.2
Friday,Clark Johnson,action,S.W.A.T.,08/08/2003,Sony,268.4,70,207.7,6,3.01,117,116.9
Friday,Martin Scorsese,biography,The Aviator,17/12/2004,MiraMax,269,110,213.7,7.5,3.61,170,102.6
Friday,Ridley Scott,action,Exodus: Gods and Kings,12/12/2014,Fox,269.2,140,268,6.1,2.66,150,65
Friday,"Phil Lord, Chris Miller",animation,Cloudy with a Chance of Meatballs,18/09/2009,Sony,269.4,100,243,7,3.49,90,124.9
Friday,Nicholas Stoller,comedy,Neighbors,09/05/2014,Universal,269.4,18,268.2,6.4,3.09,97,150.2
Wednesday,Lawrence Guterman,action,Cats & Dogs,04/07/2001,WB,269.5,60,200.7,5.2,2.7,87,93.4
Wednesday,Dany Boon,drama,Bienvenue chez les Ch'tis,20/02/2008,Path_ Distribution,270.7,15.3,245.1,7.1,3.75,106,0
Friday,Robert Schwentke,action,Flightplan,23/09/2005,Buena Vista Studios,272,55,223.4,6.2,3.08,98,89.7
Wednesday,Clint Eastwood,drama,Million Dollar Baby,15/12/2004,WB,272.9,30,216.8,8.1,3.87,132,100.5
Friday,Cameron Crowe,mystery,Vanilla Sky,14/12/2001,Paramount Pictures,273.1,70,203.4,6.9,3.36,136,100.6
Friday,Peter Weir,action,Master and Commander: The Far Side of the World,14/11/2003,Fox,274,135,212,7.4,3.64,138,93.9
Friday,Chris Wedge,animation,Epic,24/05/2013,Fox,274,100,268.4,6.7,1.49,102,107.5
Friday,Rob Minkoff,animation,Mr. Peabody & Sherman,07/03/2014,Fox,274.1,145,272.9,6.9,3.4,92,111.5
